@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 {0,1,2,3}

@data
1,'2019/05/08 13:47:32:289',1,0.299309,-0.069962,-0.210585,-0.000896,-0.140301,-0.067264,0.387201,-0.008829,-0.361806,0.09504,0.299309,-0.069962,-0.210585,-0.000896,-0.140301,-0.067264,0.387201,-0.008829,-0.361806,0.09504,3
2,'2019/05/08 13:47:33:518',2,0.918428,1.017946,1.402541,1.352042,0.602287,0.05113,-0.11684,-0.240175,-0.757596,-0.852171,0.918428,1.017946,1.402541,1.352042,0.602287,0.05113,-0.11684,-0.240175,-0.757596,-0.852171,3
3,'2019/05/08 13:47:34:088',3,-0.167921,0.637965,1.544844,1.4636,-0.104586,-0.59077,-0.785984,-1.083612,-1.263713,-0.869284,-0.167921,0.637965,1.544844,1.4636,-0.104586,-0.59077,-0.785984,-1.083612,-1.263713,-0.869284,3
4,'2019/05/08 13:47:34:654',4,0.167855,0.283591,0.275392,0.203525,0.350911,0.34561,0.523294,-0.087276,-0.366023,0.178568,0.167855,0.283591,0.275392,0.203525,0.350911,0.34561,0.523294,-0.087276,-0.366023,0.178568,3
5,'2019/05/08 13:47:35:156',5,0.309161,-0.003115,0.518005,0.495254,1.17134,0.253967,-0.198328,-1.089871,-1.218567,-1.145267,0.309161,-0.003115,0.518005,0.495254,1.17134,0.253967,-0.198328,-1.089871,-1.218567,-1.145267,3
6,'2019/05/08 13:47:35:752',6,-0.861371,-1.111831,-0.842787,-0.836599,0.376172,1.552131,2.609366,1.315184,0.118201,0.060729,-0.861371,-1.111831,-0.842787,-0.836599,0.376172,1.552131,2.609366,1.315184,0.118201,0.060729,3
7,'2019/05/08 13:47:36:187',7,0.300204,-0.051052,0.203841,0.102883,-0.429091,-0.554583,-0.746826,-0.631756,-0.813317,-0.535525,0.300204,-0.051052,0.203841,0.102883,-0.429091,-0.554583,-0.746826,-0.631756,-0.813317,-0.535525,3
8,'2019/05/08 13:47:36:764',8,0.719928,0.84888,0.440718,0.32647,0.175463,-0.632134,-0.763871,-0.750322,-0.635529,-0.540757,0.719928,0.84888,0.440718,0.32647,0.175463,-0.632134,-0.763871,-0.750322,-0.635529,-0.540757,3
9,'2019/05/08 13:47:38:152',9,1.661844,1.653582,0.90081,0.30399,-0.086329,-0.216665,-0.533738,-0.584051,-0.346749,-0.41752,1.661844,1.653582,0.90081,0.30399,-0.086329,-0.216665,-0.533738,-0.584051,-0.346749,-0.41752,3
10,'2019/05/08 13:47:38:617',10,0.744509,1.048925,0.146463,-0.073779,-0.678989,0.390196,0.181136,0.438913,1.0137,1.122505,0.744509,1.048925,0.146463,-0.073779,-0.678989,0.390196,0.181136,0.438913,1.0137,1.122505,3
11,'2019/05/08 13:47:39:152',11,-0.635792,-1.167125,-1.194541,-1.277673,-0.989015,-0.190275,-0.279065,-0.281528,-0.074103,0.241382,-0.635792,-1.167125,-1.194541,-1.277673,-0.989015,-0.190275,-0.279065,-0.281528,-0.074103,0.241382,3
12,'2019/05/08 13:47:40:185',12,3.079572,1.078877,-1.982507,-1.602544,-1.200575,0.159075,0.460459,0.855278,0.9839,1.025093,3.079572,1.078877,-1.982507,-1.602544,-1.200575,0.159075,0.460459,0.855278,0.9839,1.025093,3
13,'2019/05/08 13:47:40:524',13,0.165547,0.244306,0.201637,0.062397,-0.157946,-0.37215,-0.543618,-1.044272,-0.844231,-0.902925,0.165547,0.244306,0.201637,0.062397,-0.157946,-0.37215,-0.543618,-1.044272,-0.844231,-0.902925,3
14,'2019/05/08 13:47:41:354',14,-1.009609,-0.700043,-0.094231,0.467589,0.333009,-0.039932,-0.114976,0.176959,0.248153,0.414942,-1.009609,-0.700043,-0.094231,0.467589,0.333009,-0.039932,-0.114976,0.176959,0.248153,0.414942,3
15,'2019/05/08 13:47:41:884',15,-0.208474,-0.236335,-0.488242,-0.161635,-0.31981,-0.712138,-0.821252,-1.332167,-0.441304,3.094374,-0.208474,-0.236335,-0.488242,-0.161635,-0.31981,-0.712138,-0.821252,-1.332167,-0.441304,3.094374,3
16,'2019/05/08 13:47:43:383',16,0.328202,0.088944,-0.269379,0.234563,5.376969,0.655977,1.403683,0.626006,-0.056739,0.147278,0.328202,0.088944,-0.269379,0.234563,5.376969,0.655977,1.403683,0.626006,-0.056739,0.147278,3
17,'2019/05/08 13:47:44:785',17,1.027388,1.841045,1.145625,0.029608,-0.12735,-0.13921,0.004853,0.036777,0.288293,0.437088,1.027388,1.841045,1.145625,0.029608,-0.12735,-0.13921,0.004853,0.036777,0.288293,0.437088,3
